County,County No State,Origin,State,County % by Origin,County N Imm,Round Total Imm Pop,Total Imm Pop,Total US Pop
"Alachua County, Florida",Alachua County,(All countries),Florida,0.000656308,29432,44844800,44844808,329725481
"Bay County, Florida",Bay County,(All countries),Florida,0.000295709,13261,44844800,44844808,329725481
"Brevard County, Florida",Brevard County,(All countries),Florida,0.001178241,52838,44844800,44844808,329725481
"Broward County, Florida",Broward County,(All countries),Florida,0.015022832,673696,44844800,44844808,329725481
"Charlotte County, Florida",Charlotte County,(All countries),Florida,0.000408096,18301,44844800,44844808,329725481
"Citrus County, Florida",Citrus County,(All countries),Florida,0.000194917,8741,44844800,44844808,329725481
"Clay County, Florida",Clay County,(All countries),Florida,0.000309824,13894,44844800,44844808,329725481
"Collier County, Florida",Collier County,(All countries),Florida,0.002130503,95542,44844800,44844808,329725481
"Columbia County, Florida",Columbia County,(All countries),Florida,6.09E-05,2730,44844800,44844808,329725481
"DeSoto County, Florida",DeSoto County,(All countries),Florida,0.000100993,4529,44844800,44844808,329725481
"Duval County, Florida",Duval County,(All countries),Florida,0.002567633,115145,44844800,44844808,329725481
"Escambia County, Florida",Escambia County,(All countries),Florida,0.000380958,17084,44844800,44844808,329725481
"Flagler County, Florida",Flagler County,(All countries),Florida,0.000304985,13677,44844800,44844808,329725481
"Gadsden County, Florida",Gadsden County,(All countries),Florida,4.99E-05,2237,44844800,44844808,329725481
"Hardee County, Florida",Hardee County,(All countries),Florida,6.06E-05,2716,44844800,44844808,329725481
"Hendry County, Florida",Hendry County,(All countries),Florida,0.000232357,10420,44844800,44844808,329725481
"Hernando County, Florida",Hernando County,(All countries),Florida,0.000307616,13795,44844800,44844808,329725481
"Highlands County, Florida",Highlands County,(All countries),Florida,0.000251913,11297,44844800,44844808,329725481
"Hillsborough County, Florida",Hillsborough County,(All countries),Florida,0.005882242,263788,44844800,44844808,329725481
"Indian River County, Florida",Indian River County,(All countries),Florida,0.000351746,15774,44844800,44844808,329725481
"Lake County, Florida",Lake County,(All countries),Florida,0.00086389,38741,44844800,44844808,329725481
"Lee County, Florida",Lee County,(All countries),Florida,0.002873621,128867,44844800,44844808,329725481
"Leon County, Florida",Leon County,(All countries),Florida,0.000438468,19663,44844800,44844808,329725481
"Manatee County, Florida",Manatee County,(All countries),Florida,0.001161026,52066,44844800,44844808,329725481
"Marion County, Florida",Marion County,(All countries),Florida,0.000644779,28915,44844800,44844808,329725481
"Martin County, Florida",Martin County,(All countries),Florida,0.000359417,16118,44844800,44844808,329725481
"Miami-Dade County, Florida",Miami-Dade County,(All countries),Florida,0.032389569,1452504,44844800,44844808,329725481
"Monroe County, Florida",Monroe County,(All countries),Florida,0.000350721,15728,44844800,44844808,329725481
"Nassau County, Florida",Nassau County,(All countries),Florida,7.88E-05,3532,44844800,44844808,329725481
"Okaloosa County, Florida",Okaloosa County,(All countries),Florida,0.000363743,16312,44844800,44844808,329725481
"Okeechobee County, Florida",Okeechobee County,(All countries),Florida,0.000110068,4936,44844800,44844808,329725481
"Orange County, Florida",Orange County,(All countries),Florida,0.007018761,314755,44844800,44844808,329725481
"Osceola County, Florida",Osceola County,(All countries),Florida,0.001930904,86591,44844800,44844808,329725481
"Palm Beach County, Florida",Palm Beach County,(All countries),Florida,0.008702501,390262,44844800,44844808,329725481
"Pasco County, Florida",Pasco County,(All countries),Florida,0.001310475,58768,44844800,44844808,329725481
"Pinellas County, Florida",Pinellas County,(All countries),Florida,0.00260621,116875,44844800,44844808,329725481
"Polk County, Florida",Polk County,(All countries),Florida,0.00165241,74102,44844800,44844808,329725481
"Putnam County, Florida",Putnam County,(All countries),Florida,7.11E-05,3188,44844800,44844808,329725481
"Santa Rosa County, Florida",Santa Rosa County,(All countries),Florida,0.000204483,9170,44844800,44844808,329725481
"Sarasota County, Florida",Sarasota County,(All countries),Florida,0.001125325,50465,44844800,44844808,329725481
"Seminole County, Florida",Seminole County,(All countries),Florida,0.001534782,68827,44844800,44844808,329725481
"St. Johns County, Florida",St. Johns County,(All countries),Florida,0.000475573,21327,44844800,44844808,329725481
"St. Lucie County, Florida",St. Lucie County,(All countries),Florida,0.001211422,54326,44844800,44844808,329725481
"Sumter County, Florida",Sumter County,(All countries),Florida,0.000172684,7744,44844800,44844808,329725481
"Suwannee County, Florida",Suwannee County,(All countries),Florida,4.78E-05,2143,44844800,44844808,329725481
"Volusia County, Florida",Volusia County,(All countries),Florida,0.000983793,44118,44844800,44844808,329725481
"Walton County, Florida",Walton County,(All countries),Florida,0.000111429,4997,44844800,44844808,329725481